Lesson,Kanji,On,Kun,Trans
3,底,テイ,そこ,дно
5,店,テン,みせ,магазин
2,府,フ,—,"префектура, правительство"
4,度,ド,たび,"раз, градус, величина"
3,座,ザ,すわる,"сидеть, место для сидения"
3,庫,コ,くら,"хранилище, склад"
3,庭,テイ,にわ,"сад, двор"
2,康,,,мир
1,廊,ロー,—,коридор
2,延,,,prolong
4,建,ケン,たてる,строить
1,弁,ベン,—,"речь, различать, платить, лепесток, клапан"
3,式,シキ,—,"церемония, стиль, формула"
4,引,イン,ひく,тянуть
4,弟,テイ,おとうと,"младший брат, ученик"
4,弱,ジャク,よわい,слабый
3,張,チョー,はる,натягивать
4,強,キョー、ゴー,つよい,сильный
1,弾,ダン,ひく、はずむ、たま,"играть на муз. инструменте, упругость, пуля, снаряд, осуждать"
3,当,トー,あたる,"этот, данный, правильный, выполнять обязанности"
3,形,"ケイ
(ギョー)",かたち,"форма, образ"
1,影,エイ,かげ,"тень, силуэт"
3,役,ヤク、エキ,—,"роль, служба"
3,彼,ヒ,かれ,"он, тот"
1,往,オー,—,"движение, минувший"
4,待,タイ,まつ,ждать
2,律,,,rhythm
5,後,ゴ、コー,うしろ、あと、のち、おくれる,"после, сзади"
3,徒,ト,—,"последователь, ученик, группа людей, человек, напрасный"
1,従,ジュー,したがう,"следовать, подчиняться"
3,得,トク,える、うる,"получать, понимать, прибыль"
3,御,ゴ、ギョ,—,уважительный префикс
2,復,,,repeating
1,微,ビ,—,"мелкий, микро, тонкий"
1,徳,トク,—,"нравственность, добродетель"
4,心,シン,こころ,"сердце, чувство, сердцевина, центр"
3,必,ヒツ,かならず,"неизбежный, обязательный"
1,忍,,,endure
3,志,シ,こころざし、こころざす,намерение
3,忘,ボー,わすれる,забывать
2,忙,,,busy
3,応,オー,こたえる,"реагировать, отвечать"
1,忠,,,loyalty
3,快,カイ,こころよい,"приятный, выздоровление"
3,念,ネン,—,мысль
2,怒,ド,おこる、いかる,"сердиться, гнев"
2,怖,フ,こわい,страшный
4,思,シ,おもう,думать
4,急,キュー,いそぐ,спешить
3,性,セイ、ショー,—,"пол, характер, натура"
1,怪,カイ,あやしい,"подозрительный, загадочный"
3,恋,レン,こい,любовь (романтическая)
3,恐,キョー,おそれる,страх
2,恥,チ,はじ、はじる,стыд
3,息,ソク,いき,дыхание
2,恵,,,favor
1,悟,,,enlightenment
2,悩,,,trouble
4,悪,アク,わるい,плохой
3,悲,ヒ,かなしい,печальный
3,情,ジョー,なさけ,"чувства, обстоятельства"
1,惑,ワク,まどう,"растерянность, очарование"
1,惜,,,pity
3,想,ソー,—,"мысль, представлять"
4,意,イ,—,"мысль, намерение, смысл"
1,愚,,,foolish
3,愛,アイ,—,любовь
3,感,カン,—,чувство
1,態,タイ,—,состояние
1,慢,,,ridicule
2,慣,,,accustomed
1,慮,,,prudence
2,憎,,,hate
1,憶,オク,—,память
1,懐,,,pocket
1,懸,,,suspend
3,成,セイ,なる,"становиться, образовывать, расти, результат"
1,我,ガ,われ,"эго, я"
3,戦,セン,"たたかう
(いくさ)","война, сражение"
1,戯,,,frolic
3,戸,コ,と,дверь
3,戻,レイ,もどす,возвращать
1,房,ボー,ふさ,"камера, помещение"
4,所,ショ,ところ,"место, учреждение"
1,扉,ヒ,とびら,дверь
5,手,シュ,て,рука
